,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
全 国,103.51,103.86,106.74,106.3,104.31,104.26,103.45,102.19,102.71,102.86,103.13,103.27,105.2,105.17,105.12,105.22,105.04,105.02,104.98,104.81,104.64,104.46,104.8
北 京,103.84,100.79,108.97,108.93,112.29,106.08,105.01,102.65,97.21,99.06,103.38,104.27,106.75,104.09,105.18,107.62,102.24,109.45,105.85,102.65,98.75,101.56,104.65
天 津,100.6,98.63,103.99,103.81,98.7,97.44,98.37,100.81,96.81,100.32,97.21,102.38,114.52,98.83,98.61,98.87,100.34,120.43,114.39,111.1,115.72,123.17,106.31
河 北,102.53,103.05,103.67,103.63,103.18,104.17,104.52,100.92,102.17,103.72,103.96,103.6,102.84,107.74,104.6,105.5,104.91,102.15,104.61,103.14,101.67,104.26,102.02
山 西,104.82,105.21,107.28,107.21,106.14,105.01,105.44,102.97,102.27,103.87,102.93,104.22,105.56,104.93,104.46,105.52,103.3,107.49,106.04,108.34,104.73,102.32,104.06
内蒙古,104.45,105.95,107.17,107.1,105.84,104.36,105.74,104.69,104.05,103.08,105.21,105.01,108.05,98.85,104.44,107.91,103.9,104.32,102.05,100.79,104.26,106.68,104.26
辽 宁,100.49,103.16,104.04,104.01,101.94,100.05,100.62,100.53,102.02,101.22,100.92,101.36,102.54,101.32,100.53,101.97,102.74,100.45,101.86,100.12,100.37,100.71,99.7
吉 林,104,104.71,104.92,104.89,101.67,100.67,100.43,103.15,102.42,102.64,102.37,104.89,102.67,104.48,103.47,106.23,103.65,102.02,103.41,102.42,102.03,101.94,99.69
黑龙江,104.78,105.11,104.6,104.54,105.04,103.52,103.14,102.44,103.23,102.12,102.28,103.31,103.22,101.29,103.66,102.94,100.16,101.59,102.11,103.83,102.93,102.77,100.35
上 海,97.99,97.65,105.74,105.68,96.73,99.82,96.62,101.27,98.71,99.29,100.18,98.95,106.18,113.09,108.78,106.24,106.7,108.37,105.87,103.54,106.61,107.86,107.33
江 苏,98.3,99.8,102.58,102.55,100.3,97.99,98.53,96.34,94.92,95.59,95.07,97.3,101.54,100.86,98.9,99.94,101.66,103.01,101.44,103.02,103.43,103.38,103.15
浙 江,105.48,102.87,105.57,105.51,102.89,102.4,102.67,102.95,101.87,104.68,103.62,101.93,105.69,95.77,104.58,107.54,109.98,107.37,108.56,111.48,107.97,107.64,109.04
安 徽,105.75,105.97,106.61,106.57,105.9,106.03,105.39,100.79,103.67,102.45,105.33,106.62,103.39,102.7,108.78,104.11,98.6,104.9,105.52,104.92,106.06,102.13,103.94
福 建,100.9,102.67,106.36,106.29,108.42,104.61,100.81,101.11,102.03,101.05,101.24,99.99,105.96,97.37,101.89,107.89,108.56,105.71,103.8,104.12,108.41,107.51,106.94
江 西,103.98,106.39,108.31,108.16,106.07,105.16,106.21,103.65,105.13,104.64,104.56,104.77,107.46,111.2,107.64,108.52,109.27,106.12,108.45,108.28,105.83,104.29,106.62
山 东,100.53,100.76,102.53,102.5,102.36,100.42,100.67,99.97,100.88,100.87,100.13,102.3,102.33,100.74,102.14,103.87,102.65,104.45,104.14,101.68,100.77,101.92,102.67
河 南,105.11,104.81,106.58,106.46,103.84,107.35,106.02,103.21,102.8,103.85,102.27,102.53,102.06,107.82,102.26,101.09,102.33,103.99,103.89,104.49,102.45,102.03,100.6
湖 北,104.5,104.34,108.59,108.61,104.55,104.81,102.76,103.54,102.47,103.39,102.88,105.15,105.56,105.67,103.83,103.33,103.9,104.12,105.49,106.34,106.15,101.45,105.83
湖 南,106.84,105.72,109.02,108.96,107.98,108.41,105.24,104.67,103.85,106.25,107.1,104.89,105.81,105.98,106.57,105.7,105.29,102.98,104.51,101.68,101.51,103.88,104.77
广 东,102.28,102.61,103.82,103.68,105.62,104.55,105.48,102.61,105.06,103.72,105.09,102.23,109,115.23,111.94,110.84,118.62,113.51,113.02,113.46,117.27,118.05,113.08
广 西,105.81,106.6,112.68,112.73,108.39,109.84,107.55,107.62,109.18,108.61,109.21,110.76,108.26,109.97,107.72,109.44,108.36,105.57,108.43,109.2,108.47,106.98,107.04
海 南,109.91,110.95,109.77,112.54,110.08,113.33,109.07,110.46,109.93,109.95,109.81,114.17,110.9,108.28,113.6,111.71,115.37,110.47,111.46,110.02,104.69,106.34,112.86
重 庆,104.78,103.85,108.04,107.98,104.36,103.56,99.3,101.57,102.56,102.56,101.67,100.66,102.43,104.03,101.37,103.96,105.88,100.6,103.37,99.57,100.35,100.17,102.21
四 川,102.41,104.28,106.98,106.97,100.57,102.95,101.84,99.44,103.23,101.14,102.64,100.93,103.14,104.43,109.96,104.02,98.23,100.89,99.73,101.93,98.67,96.73,102.19
贵 州,110.77,109.91,110.1,110.02,107.12,107.63,107.48,106.13,106.99,107.12,108.21,107.03,106.89,112.01,105.56,107.05,104.68,107.12,106.65,107.23,109.37,107.42,104.5
云 南,102.32,101.42,110.11,110.06,106.62,109.34,102.44,106.57,107.15,106.32,108.3,108,107.84,104.1,105.88,107.56,105.4,104.98,102.16,107.41,107.67,104.14,107.16
西 藏,98.05,97.5,102.62,102.67,92.84,92.25,95.14,98.01,95.76,96.4,94.65,96.6,105.69,104.43,98.72,103.23,101.07,102.33,102.18,100.85,98.98,100.31,110.32
陕 西,104.94,106.38,108.42,108.2,105.77,105.2,105.88,102.01,101.19,101.55,102.79,102.58,106.92,105.42,107.08,105.02,107.05,102.59,101.93,97.38,100.47,103,104.79
甘 肃,104.99,103.32,107.59,107.59,105.49,105.31,106.34,101.83,102.53,102.82,102.39,103.8,104.42,108.18,106.01,105.64,107.6,106.18,102.85,103.27,103.65,102.19,103.1
青 海,100.58,103.5,107.06,106.69,105.28,104.15,105.44,102.12,103.15,102.74,101.61,101.21,107.4,102.61,106.35,103.85,101.09,109.29,105.8,105.93,108.34,106.91,104.97
宁 夏,103.08,102.63,105.28,105.26,104.82,103.29,102.24,101.47,103.84,103.08,103.71,104.24,105.09,111.07,104.52,104.32,105.8,106.16,106.7,96.91,98.27,105.95,103.83
新 疆,102.59,104.28,107.27,107.24,102.25,103.77,103.56,102.76,102.41,103.47,103.14,102.61,105.34,105.31,103.97,105.25,104.5,104.12,104.48,102.12,99.76,101.73,106.85